part_index,part_name,group,volume,surface_area,edge_length,faces,edges,vertices,bbox_max,bbox_mid,bbox_min,moment_max,moment_mid,moment_min,normalized_step
1,part_0001,1,26782.655398985426,20247.168543828433,9278.556530358512,242,687,444,86.59137622339152,86.59137622339152,20.2000002,30111349.954532865,15816701.886797203,15816701.872562049,normalized_parts\part_0001.step
2,part_0002,2,116.68266740739111,276.7420581040831,181.50689315751208,6,12,8,11.800000200017031,8.407559309507958,6.796924690437898,2300.704561005152,1364.952671703961,957.8414644142322,normalized_parts\part_0002.step
3,part_0003,2,116.6826674073912,276.74205810408307,181.50689315751205,6,12,8,11.800000200017028,9.689334866890064,3.9243980596767223,2300.704561005163,1364.9526717039382,957.8414644142176,normalized_parts\part_0003.step
4,part_0004,2,116.68266740739116,276.74205810408273,181.50689315751208,6,12,8,11.800000200017024,9.991353550093255,1.5906460894693524,2300.70456100516,1364.9526717039837,957.8414644143049,normalized_parts\part_0004.step
5,part_0005,2,116.68266740739139,276.74205810408336,181.50689315751214,6,12,8,11.800000200017033,9.486421890875224,4.6660897088518,2300.704561005162,1364.9526717040014,957.8414644143049,normalized_parts\part_0005.step
6,part_0006,2,116.68266740739128,276.7420581040833,181.50689315751208,6,12,8,11.800000200017037,7.94397005518767,7.371625223391693,2300.7045610051487,1364.9526717039494,957.8414644142322,normalized_parts\part_0006.step
7,part_0007,2,116.68266740739102,276.74205810408307,181.50689315751208,6,12,8,11.800000200017037,9.18803396651204,5.443358214455873,2300.7045610051564,1364.9526717039344,957.8414644142176,normalized_parts\part_0007.step
8,part_0008,2,116.6826674073908,276.7420581040834,181.50689315751217,6,12,8,11.80000020001703,9.911758796190657,2.290272508701964,2300.7045610051614,1364.9526717040255,957.8414644143049,normalized_parts\part_0008.step
9,part_0009,2,116.68266740739038,276.74205810408284,181.50689315751208,6,12,8,11.800000200017028,9.834961743303904,3.07869460797048,2300.7045610051487,1364.952671703935,957.8414644142322,normalized_parts\part_0009.step
10,part_0010,2,116.68266740739104,276.74205810408307,181.5068931575121,6,12,8,11.80000020001703,8.849641915730269,6.111708041161933,2300.70456100516,1364.9526717040253,957.8414644143049,normalized_parts\part_0010.step
11,part_0011,2,116.6826674073911,276.7420581040831,181.50689315751208,6,12,8,11.80000020001703,8.407559309507953,6.796924690437898,2300.704561005155,1364.9526717039575,957.8414644142613,normalized_parts\part_0011.step
12,part_0012,2,116.68266740739095,276.74205810408324,181.50689315751208,6,12,8,11.800000200017028,9.689334866890079,3.9243980596766512,2300.7045610051623,1364.9526717039867,957.8414644142758,normalized_parts\part_0012.step
13,part_0013,2,116.68266740739114,276.7420581040832,181.50689315751214,6,12,8,11.800000200017024,9.991353550093251,1.590646089469395,2300.7045610051646,1364.9526717039832,957.8414644142904,normalized_parts\part_0013.step
14,part_0014,2,116.68266740739126,276.74205810408336,181.50689315751214,6,12,8,11.800000200017019,9.486421890875217,4.666089708851864,2300.704561005168,1364.9526717039664,957.8414644142904,normalized_parts\part_0014.step
15,part_0015,2,116.6826674073908,276.74205810408307,181.50689315751208,6,12,8,11.800000200017012,7.94397005518762,7.371625223391739,2300.7045610051678,1364.9526717039885,957.8414644143049,normalized_parts\part_0015.step
16,part_0016,2,116.68266740739125,276.74205810408307,181.50689315751205,6,12,8,11.800000200017013,9.188033966512075,5.44335821445582,2300.7045610051723,1364.952671703984,957.8414644142613,normalized_parts\part_0016.step
17,part_0017,2,116.6826674073908,276.7420581040832,181.5068931575121,6,12,8,11.80000020001702,9.911758796190673,2.290272508701907,2300.7045610051573,1364.9526717039998,957.8414644143195,normalized_parts\part_0017.step
18,part_0018,2,116.68266740739126,276.74205810408324,181.5068931575122,6,12,8,11.800000200017026,9.834961743303904,3.078694607970558,2300.7045610051646,1364.9526717039896,957.8414644142904,normalized_parts\part_0018.step
19,part_0019,2,116.68266740739169,276.7420581040833,181.50689315751208,6,12,8,11.80000020001703,8.84964191573024,6.111708041161986,2300.7045610051837,1364.9526717039798,957.8414644142613,normalized_parts\part_0019.step
20,part_0020,3,6386.445461215318,11469.160970760087,5539.504882599737,118,326,214,75.13932056918355,75.13932056918355,14.500000200000127,5504911.733601133,2870932.8362919334,2870932.8311968804,normalized_parts\part_0020.step
21,part_0021,4,44.75270635762897,303.0970592626165,1495.6892428314488,206,424,218,10.056545380555546,5.951025539732781,5.84499743431428,642.3511589433729,572.0312494883074,209.46070147393766,normalized_parts\part_0021.step
22,part_0022,7,7924.073467704191,9404.458775068159,12258.155647826254,690,1842,1228,63.998654156235006,63.88447366870419,10.00000020000001,6653315.387000307,3383393.938720556,3383393.932631351,normalized_parts\part_0022.step
23,part_0023,4,44.752706357628824,303.0970592626164,1495.6892428314488,206,424,218,10.056545380555546,6.112634866114588,6.069947070147773,642.3511589433843,572.0312494882759,209.46070147390128,normalized_parts\part_0023.step
24,part_0024,4,44.75270635762895,303.0970592626168,1495.6892428314486,206,424,218,10.056545380555546,6.129324378534189,6.107507453254119,642.3511589433763,572.031249488253,209.460701473894,normalized_parts\part_0024.step
25,part_0025,4,44.75270635762894,303.09705926261734,1495.6892428314484,206,424,218,10.056545380555548,6.021509701285828,5.935783163608033,642.3511589433756,572.0312494882646,209.46070147390856,normalized_parts\part_0025.step
26,part_0026,4,44.75270635762918,303.09705926261773,1495.6892428314486,206,424,218,10.056545380555548,5.75621024260178,5.6021461881460795,642.3511589433737,572.0312494882766,209.46070147393038,normalized_parts\part_0026.step
27,part_0027,5,44.75270635762854,303.0970592626156,1495.6892428314482,206,424,218,10.056545380555548,5.391099386372213,5.167858162823897,642.3511589433695,572.0312494882955,209.46070147394494,normalized_parts\part_0027.step
