part_a,part_b,similarity,distance,topology_distance,geometry_distance,shape_distance,size_distance,size_gate_failed,same_group
81,83,1.0,2.957735015855679e-17,0.0,4.3369346472029096e-17,9.367506770274758e-17,0.0,False,True
77,79,1.0,3.390958666495762e-17,0.0,7.318830152466541e-17,7.806255641895632e-17,0.0,False,True
80,82,0.9999999999999999,5.736523363862241e-17,0.0,1.0988125324693344e-16,6.938893903907228e-17,1.0678088346049729e-16,False,True
78,84,0.9999999999999999,6.472112909400782e-17,0.0,1.1027683375224067e-16,1.457167719820518e-16,5.3390441730248625e-17,False,True
4,13,0.9999999999999997,3.4991075959999364e-16,0.0,1.18608127147898e-15,0.0,3.5593627820165776e-16,False,True
5,14,0.9999999999999996,4.921783601614246e-16,0.0,1.8619325571852013e-15,0.0,1.7796813910082868e-16,False,True
2,11,0.9999999999999994,5.019152084609203e-16,0.0,1.9863046571515817e-15,0.0,3.559362782016575e-17,False,True
8,17,0.9999999999999994,5.070102937455248e-16,0.0,1.9212602915216018e-15,0.0,1.7796813910082868e-16,False,True
3,12,0.999999999999999,1.0519578418884354e-15,0.0,3.9408791589024985e-15,0.0,4.449203477520716e-16,False,True
9,18,0.9999999999999989,1.1530733178769546e-15,0.0,3.68329958540149e-15,0.0,1.5483228101772148e-15,False,True
10,19,0.9999999999999988,1.179558440217649e-15,0.0,4.08822654845366e-15,0.0,1.0500120206948923e-15,False,True
75,76,0.9999999999999938,6.16382339113275e-15,0.0,2.4598471831723967e-14,5.767955557622884e-17,1.7796813910082876e-17,False,False
38,57,0.99999999999986,1.4000494944704628e-13,0.0,1.0864051745759333e-14,6.863912921113019e-13,7.11872556403315e-17,False,False
24,43,0.9999999999998542,1.457935046353727e-13,0.0,1.4646215173482945e-14,7.104862352743865e-13,2.313585808310773e-16,False,True
32,51,0.9999999999998525,1.4753071125459051e-13,0.0,1.2849486593708909e-15,7.357003325774922e-13,4.627171616621543e-16,False,False
30,49,0.9999999999998139,1.8605663983479588e-13,0.0,7.30361971299821e-15,9.201926465815871e-13,1.2813706015259708e-15,False,False
23,42,0.9999999999998096,1.9035883637402525e-13,0.0,1.1694077855555983e-14,9.363356850934298e-13,1.1211992763352237e-15,False,True
34,53,0.999999999999806,1.9395694629138255e-13,0.0,8.143915661436616e-15,9.589774991897865e-13,8.364502537738964e-16,False,True
37,56,0.9999999999998014,1.9861890256357786e-13,0.0,1.030122878193823e-14,9.788431729659125e-13,1.833071832738542e-15,False,True
27,46,0.9999999999997929,2.0706573492179191e-13,0.0,1.6510951044992972e-14,1.0124609348604804e-12,2.972067922983854e-15,False,False
21,41,0.9999999999997891,2.1097573286552772e-13,0.0,6.2354661261286014e-15,1.0470576364491127e-12,3.559362782016575e-17,False,True
29,48,0.9999999999997857,2.1423213798263342e-13,0.0,1.0882639548000299e-14,1.056235977045343e-12,1.7618845770981991e-15,False,True
