id,title,repository,source_url,format,license,tier,source_branch,source_commit,expected_bytes,expected_sha256,acquisition_status,sha256,solid_count,inspection_status,classification_status,final_group_count,multi_member_groups,solids_in_multi_member_groups,unresolved_pairs,selection_reason
so100_follower,SO-100 Follower Arm,TheRobotStudio/SO-ARM100,https://raw.githubusercontent.com/TheRobotStudio/SO-ARM100/7629d2ad9853d10fb903093a33ef6114099d97e5/STEP/SO100/Follower_Specific/SO_5DOF_ARM100_Assembly.step,STEP,Apache-2.0,core,main,7629d2ad9853d10fb903093a33ef6114099d97e5,7038498,6dda8ce9858b2a460082eb192678ba4dcfc062d8bbacc160111bf2019b8c6658,verified,6dda8ce9858b2a460082eb192678ba4dcfc062d8bbacc160111bf2019b8c6658,19,admitted,completed,18,1,2,0,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
so100_leader,SO-100 Leader Arm,TheRobotStudio/SO-ARM100,https://raw.githubusercontent.com/TheRobotStudio/SO-ARM100/7629d2ad9853d10fb903093a33ef6114099d97e5/STEP/SO100/Leader_Specific/SO_5DOF_ARM100_Assembly.step,STEP,Apache-2.0,core,main,7629d2ad9853d10fb903093a33ef6114099d97e5,6255382,08587f69844a8e02e826a1a786370bc1b73a7d3f3a18dc7d7a372355d34c4b6a,verified,08587f69844a8e02e826a1a786370bc1b73a7d3f3a18dc7d7a372355d34c4b6a,20,admitted,completed,19,1,2,0,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
so101,SO-101 Robot Arm,TheRobotStudio/SO-ARM100,https://raw.githubusercontent.com/TheRobotStudio/SO-ARM100/7629d2ad9853d10fb903093a33ef6114099d97e5/STEP/SO101/SO101%20Assembly.step,STEP,Apache-2.0,core,main,7629d2ad9853d10fb903093a33ef6114099d97e5,20496014,f754be35708382b05ce65768ae33c612f91dca11ad19d14807dc637eb944ba3d,verified,f754be35708382b05ce65768ae33c612f91dca11ad19d14807dc637eb944ba3d,266,admitted,completed,175,26,117,9,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
rebot_dm_20260425,reBot B601 DM revision 2026-04-25,Seeed-Projects/reBot-DevArm,https://raw.githubusercontent.com/Seeed-Projects/reBot-DevArm/49172dc07c0c6f14f49d9b8024c290128bcc8f17/hardware/reBot_B601_DM/reBot_B601_DM_v1.1_20260425.step,STEP,CERN-OHL-W-2.0,core,main,49172dc07c0c6f14f49d9b8024c290128bcc8f17,34822707,db2835ed6099a16a515f2b46bb9dd1bccd6ef561b206cebfaed5b25f8a71a4ba,verified,db2835ed6099a16a515f2b46bb9dd1bccd6ef561b206cebfaed5b25f8a71a4ba,389,admitted,completed,350,8,47,340,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
rebot_dm_20260625,reBot B601 DM revision 2026-06-25,Seeed-Projects/reBot-DevArm,https://raw.githubusercontent.com/Seeed-Projects/reBot-DevArm/49172dc07c0c6f14f49d9b8024c290128bcc8f17/hardware/reBot_B601_DM/reBot_B601_DM_v1.1_20260625.step,STEP,CERN-OHL-W-2.0,core,main,49172dc07c0c6f14f49d9b8024c290128bcc8f17,37678786,e99525ef0d2af1ab00a4dd6febc1904f345228d9965aa60638f9bb61fa1bb9da,verified,e99525ef0d2af1ab00a4dd6febc1904f345228d9965aa60638f9bb61fa1bb9da,367,admitted,completed,318,17,66,123,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
rebot_rs,reBot B601 RS,Seeed-Projects/reBot-DevArm,https://raw.githubusercontent.com/Seeed-Projects/reBot-DevArm/49172dc07c0c6f14f49d9b8024c290128bcc8f17/hardware/reBot_B601_RS/reBot_B601_RS_v1.0_20260625.step,STEP,CERN-OHL-W-2.0,core,main,49172dc07c0c6f14f49d9b8024c290128bcc8f17,37921121,40c2b7c134ea7471f79861abf537bd02ba2f5da4bd36f0526e1891cad5a1f771,verified,40c2b7c134ea7471f79861abf537bd02ba2f5da4bd36f0526e1891cad5a1f771,370,admitted,completed,320,14,64,82,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
voron_tap,Voron Tap R8,VoronDesign/Voron-Tap,https://raw.githubusercontent.com/VoronDesign/Voron-Tap/29e900094a0f094aad88493c76ec5a6d39f94812/CAD/VORON_Tap_R8.step,STEP,GPL-3.0,core,main,29e900094a0f094aad88493c76ec5a6d39f94812,9904620,d65f031ba1c09e9278ef80314927b7f0f80990522f4ef4129052f0e7511a7e31,verified,d65f031ba1c09e9278ef80314927b7f0f80990522f4ef4129052f0e7511a7e31,86,admitted,completed,81,2,7,34,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
voron_stealthburner,Voron Stealthburner CW2,VoronDesign/Voron-Stealthburner,https://raw.githubusercontent.com/VoronDesign/Voron-Stealthburner/8bcb9c246fac19d8ac03931ef97fa07c5e5f0f2b/CAD/Stealthburner_CW2_Assembly.step,STEP,GPL-3.0,core,main,8bcb9c246fac19d8ac03931ef97fa07c5e5f0f2b,26745618,526fe18bd11c046deba0a2b193fa3874e8f6d6e5a282fbdc25f06fe5acb3021d,verified,526fe18bd11c046deba0a2b193fa3874e8f6d6e5a282fbdc25f06fe5acb3021d,198,admitted,completed_with_export_warning,132,13,79,32,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
voron_afterburner,Voron Afterburner,VoronDesign/Voron-Afterburner,https://raw.githubusercontent.com/VoronDesign/Voron-Afterburner/3c03b4457e23b3b5e065233691127fd70c8889d4/CAD/Afterburner_Assembly.step,STEP,GPL-3.0,core,afterburner,3c03b4457e23b3b5e065233691127fd70c8889d4,73954712,20c46a6f4cae7d01281fee7ce4339a9bf94e7b840214c4213d0d5c8066178133,verified,20c46a6f4cae7d01281fee7ce4339a9bf94e7b840214c4213d0d5c8066178133,234,admitted,completed,217,8,25,171,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
hope_arm,HOPE Jr arm,TheRobotStudio/HOPEJr,https://raw.githubusercontent.com/TheRobotStudio/HOPEJr/0a60df1e326b092436edfb011b833fb9a3bc397b/Arm/STEP/arm.step,STEP,Apache-2.0,core,main,0a60df1e326b092436edfb011b833fb9a3bc397b,7772108,05d460a16e292d37c9bce974b4860fec5765074f0ae32fdaa9d0632620832b45,verified,05d460a16e292d37c9bce974b4860fec5765074f0ae32fdaa9d0632620832b45,25,admitted,completed,25,0,0,2,Multi-solid open-source mechanism suitable for repeated-part grouping evaluation.
